cell_id,cell_lat,cell_lon,in_scope
0,51.2868000,-0.5103000,0
1,51.2868000,-0.5066932,0
2,51.2868000,-0.5030865,0
3,51.2868000,-0.4994797,0
4,51.2868000,-0.4958729,0
5,51.2868000,-0.4922662,0
6,51.2868000,-0.4886594,0
7,51.2868000,-0.4850527,0
8,51.2868000,-0.4814459,0
9,51.2868000,-0.4778391,0
10,51.2868000,-0.4742324,0
11,51.2868000,-0.4706256,0
12,51.2868000,-0.4670188,0
13,51.2868000,-0.4634121,0
14,51.2868000,-0.4598053,0
15,51.2868000,-0.4561985,0
16,51.2868000,-0.4525918,0
17,51.2868000,-0.4489850,0
18,51.2868000,-0.4453783,0
19,51.2868000,-0.4417715,0
20,51.2868000,-0.4381647,0
21,51.2868000,-0.4345580,0
22,51.2868000,-0.4309512,0
23,51.2868000,-0.4273444,0
24,51.2868000,-0.4237377,0
25,51.2868000,-0.4201309,0
26,51.2868000,-0.4165241,0
27,51.2868000,-0.4129174,0
28,51.2868000,-0.4093106,0
29,51.2868000,-0.4057039,0
30,51.2868000,-0.4020971,0
31,51.2868000,-0.3984903,0
32,51.2868000,-0.3948836,0
33,51.2868000,-0.3912768,0
34,51.2868000,-0.3876700,0
35,51.2868000,-0.3840633,0
36,51.2868000,-0.3804565,0
37,51.2868000,-0.3768497,0
38,51.2868000,-0.3732430,0
39,51.2868000,-0.3696362,0
40,51.2868000,-0.3660295,0
41,51.2868000,-0.3624227,0
42,51.2868000,-0.3588159,1
43,51.2868000,-0.3552092,1
44,51.2868000,-0.3516024,1
45,51.2868000,-0.3479956,1
46,51.2868000,-0.3443889,1
47,51.2868000,-0.3407821,1
48,51.2868000,-0.3371753,1
49,51.2868000,-0.3335686,1
50,51.2868000,-0.3299618,1
51,51.2868000,-0.3263551,1
52,51.2868000,-0.3227483,1
53,51.2868000,-0.3191415,1
54,51.2868000,-0.3155348,0
55,51.2868000,-0.3119280,0
56,51.2868000,-0.3083212,0
57,51.2868000,-0.3047145,0
58,51.2868000,-0.3011077,0
59,51.2868000,-0.2975009,0
60,51.2868000,-0.2938942,0
61,51.2868000,-0.2902874,0
62,51.2868000,-0.2866807,0
63,51.2868000,-0.2830739,0
64,51.2868000,-0.2794671,0
65,51.2868000,-0.2758604,0
66,51.2868000,-0.2722536,0
67,51.2868000,-0.2686468,0
68,51.2868000,-0.2650401,0
69,51.2868000,-0.2614333,0
70,51.2868000,-0.2578265,0
71,51.2868000,-0.2542198,0
72,51.2868000,-0.2506130,0
73,51.2868000,-0.2470063,0
74,51.2868000,-0.2433995,0
75,51.2868000,-0.2397927,0
76,51.2868000,-0.2361860,0
77,51.2868000,-0.2325792,0
78,51.2868000,-0.2289724,0
79,51.2868000,-0.2253657,0
80,51.2868000,-0.2217589,0
81,51.2868000,-0.2181521,0
82,51.2868000,-0.2145454,0
83,51.2868000,-0.2109386,0
84,51.2868000,-0.2073319,0
85,51.2868000,-0.2037251,0
86,51.2868000,-0.2001183,0
87,51.2868000,-0.1965116,0
88,51.2868000,-0.1929048,0
89,51.2868000,-0.1892980,0
90,51.2868000,-0.1856913,0
91,51.2868000,-0.1820845,0
92,51.2868000,-0.1784777,0
93,51.2868000,-0.1748710,0
94,51.2868000,-0.1712642,0
95,51.2868000,-0.1676575,0
96,51.2868000,-0.1640507,1
97,51.2868000,-0.1604439,1
98,51.2868000,-0.1568372,1
99,51.2868000,-0.1532304,1
100,51.2868000,-0.1496236,1
101,51.2868000,-0.1460169,1
102,51.2868000,-0.1424101,0
103,51.2868000,-0.1388033,0
104,51.2868000,-0.1351966,0
105,51.2868000,-0.1315898,0
106,51.2868000,-0.1279831,0
107,51.2868000,-0.1243763,0
108,51.2868000,-0.1207695,0
109,51.2868000,-0.1171628,0
110,51.2868000,-0.1135560,0
111,51.2868000,-0.1099492,1
112,51.2868000,-0.1063425,1
113,51.2868000,-0.1027357,1
114,51.2868000,-0.0991289,1
115,51.2868000,-0.0955222,1
116,51.2868000,-0.0919154,1
117,51.2868000,-0.0883087,1
118,51.2868000,-0.0847019,1
119,51.2868000,-0.0810951,1
120,51.2868000,-0.0774884,1
121,51.2868000,-0.0738816,1
122,51.2868000,-0.0702748,1
123,51.2868000,-0.0666681,1
124,51.2868000,-0.0630613,0
125,51.2868000,-0.0594545,0
126,51.2868000,-0.0558478,0
127,51.2868000,-0.0522410,0
128,51.2868000,-0.0486343,0
129,51.2868000,-0.0450275,0
130,51.2868000,-0.0414207,0
131,51.2868000,-0.0378140,0
132,51.2868000,-0.0342072,0
133,51.2868000,-0.0306004,0
134,51.2868000,-0.0269937,0
135,51.2868000,-0.0233869,0
136,51.2868000,-0.0197801,0
137,51.2868000,-0.0161734,0
138,51.2868000,-0.0125666,0
139,51.2868000,-0.0089599,0
140,51.2868000,-0.0053531,0
141,51.2868000,-0.0017463,0
142,51.2868000,0.0018604,0
143,51.2868000,0.0054672,0
144,51.2868000,0.0090740,0
145,51.2868000,0.0126807,0
146,51.2868000,0.0162875,0
147,51.2868000,0.0198943,1
148,51.2868000,0.0235010,1
149,51.2868000,0.0271078,1
150,51.2868000,0.0307145,1
151,51.2868000,0.0343213,1
152,51.2868000,0.0379281,1
153,51.2868000,0.0415348,0
154,51.2868000,0.0451416,0
155,51.2868000,0.0487484,1
156,51.2868000,0.0523551,1
157,51.2868000,0.0559619,1
158,51.2868000,0.0595687,1
159,51.2868000,0.0631754,1
160,51.2868000,0.0667822,1
161,51.2868000,0.0703889,1
162,51.2868000,0.0739957,1
163,51.2868000,0.0776025,0
164,51.2868000,0.0812092,0
165,51.2868000,0.0848160,0
166,51.2868000,0.0884228,0
167,51.2868000,0.0920295,0
168,51.2868000,0.0956363,0
